HIP,Teff,e_Teff,log(g),e_log(g),vsini,r_vsini,Ageavg,Agemed,Agemod,Age68lo,Age68up,Age68t,Age95lo,Age95up,Age95t,Age2D,Mavg,Mmed,Mmod,M68lo,M68up,M68t,M95lo,M95up,M95t,M2D,source_id,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,phot_bp_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_rp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,lum_val,lum_percentile_lower,lum_percentile_upper
23,6572,223,4.25,0.14,,,1584.0,1913.0,2207.0,1122.0,4097.0,68,259.0,6310.0,95,1835.0,1.25,1.25,1.24,1.2,1.3,68,1.1,1.4,95,1.28,2767134252131256448,7.4488273000000005,19761295.30063605,3044.0897193749597,7.686630999999999,11638657.07262552,8798.02486557518,7.106007000000001,11544235.438795872,13972.929959057485,6.7162004,6.668692599999999,6.763708
194,7214,245,4.27,0.14,,,657.0,833.0,1172.0,487.0,1679.0,68,97.0,2113.0,95,513.0,1.46,1.47,1.46,1.4,1.5,68,1.3,1.6,95,1.48,2746883550048724992,5.6079764,107685140.02381372,152224.63838184453,5.7964915999999995,66367988.76201671,143479.21853930873,5.3596673,57663518.42963111,97399.54359317939,5.840716400000001,5.745519,5.9359136
255,6758,230,4.22,0.14,,,1220.0,1499.0,1804.0,858.0,2867.0,68,194.0,4732.0,95,1484.0,1.32,1.32,1.32,1.2,1.4,68,1.1,1.5,95,1.35,2336582708626465664,7.863263000000001,13490905.499196814,4939.044415229217,8.090474,8023534.668709918,8095.823146180729,7.534008999999999,7783310.545924407,8627.205123679883,4.4184665999999995,4.3866606,4.4502726
267,6560,223,4.21,0.14,,,1734.0,2057.0,2271.0,1259.0,4217.0,68,316.0,6494.0,95,2110.0,1.25,1.25,1.24,1.2,1.3,68,1.1,1.4,95,1.29,2444844338643998080,8.010036,11785056.4163557,4272.6371769924635,8.23545,7020618.567784334,5567.737883171233,7.6680017000000005,6879666.130868548,12457.999345483353,3.4604523,3.4243124,3.4965922999999997
277,7245,246,4.28,0.14,,,616.0,780.0,1138.0,448.0,1615.0,68,92.0,2054.0,95,317.0,1.47,1.47,1.46,1.4,1.6,68,1.3,1.6,95,1.48,2309505074424681216,6.879589999999999,33381839.65890526,10354.870809707949,7.066611,20602070.312085785,28849.097451031168,6.6174539999999995,18104495.690506734,23482.06269058841,5.7332497,5.703626,5.762873
301,11419,388,3.62,0.14,211.0,0.0,217.0,218.0,221.0,187.0,258.0,68,158.0,294.0,95,197.0,3.49,3.5,3.43,3.1,3.8,68,2.9,4.1,95,3.71,2414783622022208128,4.477696,304977596.07749355,904337.2936487072,4.519443,215168139.61061785,474224.6162517779,4.5476804,121813595.40628488,664471.3609942398,,,
378,6583,224,3.8,0.14,,,2212.0,2144.0,2024.0,1600.0,2711.0,68,1298.0,4340.0,95,1815.0,1.5,1.5,1.46,1.3,1.7,68,1.2,1.8,95,1.63,2769083686246518528,7.257411500000001,23571196.786209516,6386.289416535435,7.494066,13897248.676970653,20563.6233910318,6.920897500000001,13690174.576699298,55658.10647271965,10.444732,10.344927,10.544537
435,6165,210,3.99,0.14,,,3857.0,3948.0,4532.0,2940.0,5348.0,61,2160.0,6982.0,94,3761.0,1.22,1.21,1.13,1.1,1.3,68,1.0,1.5,95,1.28,4976895849340161280,9.184285000000001,3996062.767592165,667.907951466199,9.446363,2301494.072507378,1625.2880194510833,8.794042999999999,2438658.7271451526,2486.098481084346,2.00503,1.9920069,2.018053
560,6855,233,4.32,0.14,,,868.0,1078.0,1518.0,562.0,2371.0,68,112.0,3548.0,95,102.0,1.34,1.34,1.32,1.3,1.4,68,1.2,1.5,95,1.37,2337191189529102336,6.0797935,69731477.97452827,29573.0685406179,6.2986283,41793035.51023899,109005.97672684956,5.7747407,39343380.87004729,98512.27488981244,4.3119693,4.2979884,4.32595
596,6644,226,4.15,0.14,,,1699.0,1961.0,2083.0,1214.0,3384.0,68,365.0,5788.0,95,2054.0,1.3,1.3,1.3,1.2,1.4,68,1.1,1.5,95,1.35,4684110819285845376,7.448121,19774153.641201787,5441.650993747413,7.6839333,11667610.887919916,13547.622218316932,7.1178136,11419382.546591453,19753.361836254306,5.420157,5.399197,5.441117
606,6425,218,4.22,0.14,,,2186.0,2566.0,2699.0,1639.0,5171.0,68,434.0,7286.0,95,2642.0,1.21,1.2,1.18,1.1,1.3,68,1.0,1.4,95,1.24,2336290689505289472,6.9343944,31738662.21115119,7370.555755358206,7.1990056,18236987.318531103,31207.464078849516,6.568390400000001,18941392.07755393,91894.8879970532,3.0310512000000003,3.0169277,3.0451745999999997
649,6300,214,3.87,0.14,,,3172.0,3088.0,2778.0,2230.0,4375.0,68,1820.0,5906.0,94,2971.0,1.34,1.32,1.21,1.2,1.5,68,1.1,1.6,95,1.41,2441673072233002496,7.721984399999999,15365709.605287265,3028.4352085286823,7.987032000000001,8825562.78588276,5347.973474659187,7.346521000000001,9250380.382259578,14801.243042221962,4.503764599999999,4.4749885,4.532541
691,6969,237,4.43,0.14,,,614.0,772.0,1172.0,365.0,1884.0,68,77.0,2738.0,95,47.0,1.36,1.36,1.35,1.3,1.5,68,1.2,1.5,95,1.39,395877894575975168,7.6836615,15917747.728915842,3548.180401920711,7.885942,9686756.892114753,7646.3669341577015,7.3861723,8918650.874189595,7722.104574893579,3.7556,3.7400446000000005,3.7711553999999996
813,12516,426,4.26,0.14,240.0,0.0,70.0,85.0,128.0,53.0,178.0,68,13.0,205.0,95,73.0,3.09,3.08,3.04,2.9,3.2,68,2.7,3.4,95,3.08,2753834422041820928,5.5210414000000005,116662066.07115538,142942.99273528883,5.505065,86801895.33349071,133885.05391423462,5.6054864,45980481.6611672,90263.82774064074,,,
818,7228,246,3.96,0.14,,,1222.0,1318.0,1314.0,1084.0,1682.0,68,546.0,2239.0,95,1367.0,1.58,1.57,1.52,1.4,1.7,68,1.3,1.9,95,1.67,2429214162381199104,7.0193167,29350781.487158153,6560.979512472388,7.2011460000000005,18201061.94407332,19907.372857416856,6.7668633,15776937.252156895,26799.02984993032,9.129073,9.069174,9.188972
819,6467,220,3.97,0.14,,,2753.0,2714.0,2476.0,1948.0,3948.0,68,1496.0,6131.0,95,2438.0,1.32,1.31,1.3,1.2,1.4,68,1.1,1.6,95,1.43,4635412796456855424,7.7648953999999994,14770258.1285708,5023.300228337276,8.015657000000001,8595917.239339953,10781.583502682071,7.4132237000000005,8699184.707543373,20634.733440482167,5.2644763,5.2368283,5.292124299999999
922,6479,220,4.23,0.14,,,1937.0,2371.0,2476.0,1413.0,4732.0,68,355.0,6879.0,95,2343.0,1.22,1.22,1.18,1.1,1.3,68,1.0,1.4,95,1.25,2366186788622519552,8.369816,8460965.013450377,2359.6250370558027,8.618207,4934832.0212976085,4243.462175929514,8.011167,5015351.924453208,5035.073204461813,3.3750339,3.3453686,3.404699
952,6409,218,4.0,0.14,,,2950.0,2961.0,2623.0,2100.0,4401.0,68,1496.0,6494.0,95,2606.0,1.28,1.27,1.21,1.1,1.4,68,1.1,1.5,95,1.39,2859795732000514688,8.316996000000001,8882759.342426306,4321.339798284452,8.576058,5130170.897232046,6767.890549182971,7.951179499999999,5300247.670724371,5035.847743537792,4.7488246,4.661336,4.8363132
